SpeakerName,DialogueText,PortraitPosition,Expression,Effect,EffectIntensity,EffectDuration,ShowPortrait,HideOtherPortraits,AnimationTrigger,PortraitPath,AvatarPath
小芙,很高兴你最终走到了这里。,Center,Normal,None,1,1,TRUE,TRUE,,Characters/F,
颤氧,……说实在的，我不太喜欢现在这样的氛围。小芙，你的语气可听不出高兴来。,Left,Normal,None,1,1,TRUE,TRUE,,Characters/Airflow,
小芙,毕竟离别就这样摆在我面前，我要是表现得太过于愉快，会显得我们之前的感情很虚假。,Center,Normal,None,1,1,TRUE,TRUE,,Characters/F,
颤氧,事实上，我们也没有认识多长时间。,Left,Normal,None,1,1,TRUE,TRUE,,Characters/Airflow,
小芙,你不懂……我几乎通过这个相机了解到了你的一生，某种意义上，我已经陪伴了你的整个童年、你的整个少年……如果我毫无所动，难道不会显得我太过于冷血无情了？,Center,Sad,None,1,1,TRUE,TRUE,,Characters/F,
颤氧,我不得不承认你说得有些道理，但很奇怪的是：我们难道是不会再见了吗？,Left,Happy,None,1,1,TRUE,TRUE,,Characters/Airflow,
小芙,……,Center,Surprisd,None,1,1,TRUE,TRUE,,Characters/F,
颤氧,只要你不和我一起回去，你的意识就可以永远留在E-C001-A029体内，我们只需要下次任务再见，不是吗？,Left,Happy,None,1,1,TRUE,TRUE,,Characters/Airflow,
小芙,你真是很奇怪的一个人。,Center,Surprisd,None,1,1,TRUE,TRUE,,Characters/F,
颤氧,我应该视这为夸赞吗？我没什么要继续说的了，O先生，我们往下走吧。,Left,Proud,None,1,1,TRUE,TRUE,,Characters/Airflow,
